BCBS_Hospital_Name,BCBS_State,BCBS_Designation,BCBS_Page,BCBS_Source_Row,BCBS_Normalized_Name
Shands and University of Florida Health Care Ntwk,FL,BDC+,8,Shands and University of Florida Health Care Ntwk | 1600 SW ARCHER RD | Gainesville | FL | 32610 | BDC+ | Yes | Hospital,SHANDS AND UNIVERSITY FLORIDA HEALTH CARE NTWK
St Marys Medical Center,FL,BDC,8,St Marys Medical Center | 901 45th St | West Palm Beach | FL | 33407 | BDC | Yes | Hospital,ST MARYS MED CTR
West Boca Medical Center,FL,BDC,8,West Boca Medical Center | 21644 STATE ROAD 7 | Boca Raton | FL | 33428 | BDC | No | Hospital,WEST BOCA MED CTR
Coliseum Medical Center,GA,BDC+,9,Coliseum Medical Center | 350 Hospital Dr | Macon | GA | 31217-3838 | BDC+ | No | Hospital,COLISEUM MED CTR
Macon Northside Hospital,GA,BDC+,9,Macon Northside Hospital | 400 Charter Blvd | Macon | GA | 31210-4831 | BDC+ | No | Hospital,MACON NORTHSIDE HOSPITAL
Northside Hospital,GA,BDC,9,Northside Hospital | 1000 Johnson Ferry Rd | Atlanta | GA | 30342-1606 | BDC | No | Hospital,NORTHSIDE HOSPITAL
Northside Hospital Cherokee,GA,BDC,9,Northside Hospital Cherokee | 450 Northside Cherokee Blvd | Canton | GA | 30115-8015 | BDC | No | Hospital,NORTHSIDE HOSPITAL CHEROKEE
Northside Hospital Forsyth,GA,BDC,9,Northside Hospital Forsyth | 1200 Northside Forsyth Dr | Cumming | GA | 30041-7659 | BDC | No | Hospital,NORTHSIDE HOSPITAL FORSYTH
Piedmont Fayette Hospital,GA,BDC,9,Piedmont Fayette Hospital | 1255 Highway 54 W | Fayetteville | GA | 30214-4526 | BDC | Yes | Hospital,PIEDMONT FAYETTE HOSPITAL
Piedmont Henry Hospital,GA,BDC,9,Piedmont Henry Hospital | 1133 Eagles Landing Pkwy | Stockbridge | GA | 30281-5085 | BDC | Yes | Hospital,PIEDMONT HENRY HOSPITAL
Piedmont Hospital,GA,BDC,9,Piedmont Hospital | 1968 Peachtree Rd Nw | Atlanta | GA | 30309-1281 | BDC | Yes | Hospital,PIEDMONT HOSPITAL
